incwage,inctot,state,age,sex,race,marst,vetstat,hispan,empstat,labforce,ind,educ,randnum
55000,55000,Florida,42,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8190,High school diploma or equivalent,.00062650925
48000,48060,Washington,45,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",7870,Some college but no degree,.00062740489
38000,40303,California,64,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",9480,"12th grade, no diploma",.0006352418
75000,75000,California,60,Male,Asian only,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",7680,Some college but no degree,.00063970522
70000,72041,Texas,34,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9480,Bachelor's degree,.00064473221
240000,240701,California,53,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6890,Master's degree,.00064580771
30000,30005,Idaho,47,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",6170,"Associate's degree, academic program",.00066687068
26000,26577,Ohio,23,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",1490,Some college but no degree,.0006706448
2700,2700,District of Columbia,19,Female,White-Asian,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",7870,Some college but no degree,.00067093491
70064,70066,New Hampshire,59,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6690,Bachelor's degree,.00067519903
25000,25000,North Carolina,22,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",3570,High school diploma or equivalent,.0006792057
18000,18000,Wisconsin,44,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",3170,"Associate's degree, occupational/vocational program",.00070246332
90000,95011,Oregon,57,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7290,Master's degree,.00070762919
25000,45000,Texas,57,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",8380,High school diploma or equivalent,.00071456184
156000,157412,Missouri,43,Female,Black/Negro,Divorced,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",1990,Bachelor's degree,.00072713086
70000,70577,Illinois,43,Female,White-Black,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.00075578777
3000,9000,Kansas,64,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Grade 11,.00077396329
15600,15601,Texas,30,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",7770,"Associate's degree, academic program",.00077922211
17000,17002,Kentucky,23,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4670,Some college but no degree,.0007947245
51000,51372,Wisconsin,37,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6170,High school diploma or equivalent,.00083906116
2400,2560,Maryland,19,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8590,High school diploma or equivalent,.00084464066
60000,66960,District of Columbia,34,Female,Black/Negro,Never married/single,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",7860,High school diploma or equivalent,.00084909442
28000,28001,New York,34,Female,White,Separated,No service,Dominican,At work,"Yes, in the labor force",1180,Some college but no degree,.00085002318
4500,4500,Texas,18,Female,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,"12th grade, no diploma",.00085821259
20000,20000,Montana,37,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7690,Bachelor's degree,.00087644655
35002,45052,South Carolina,51,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7290,"Associate's degree, academic program",.00087762921
780,7780,South Dakota,24,Female,White,"Married, spouse present",No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Some college but no degree,.00090376148
50000,51424,Oregon,24,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",770,Bachelor's degree,.0009078689
30000,30000,Oklahoma,58,Male,White,Never married/single,Yes,Not Hispanic,At work,"Yes, in the labor force",8590,High school diploma or equivalent,.0009087869
85000,83300,California,61,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.00091017911
6500,6500,West Virginia,21,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4970,High school diploma or equivalent,.00091123633
52000,55000,California,45,Female,White,Divorced,No service,Mexican,At work,"Yes, in the labor force",9480,Some college but no degree,.00095387473
90000,90000,Washington,50,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6990,High school diploma or equivalent,.00096835446
100000,100200,California,41,Female,White,Never married/single,No service,Salvadoran,At work,"Yes, in the labor force",8190,Master's degree,.0009765916
60000,60000,Nevada,51,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",6170,High school diploma or equivalent,.00098310143
69000,69000,West Virginia,57,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",6170,High school diploma or equivalent,.00099164085
4000,4404,Montana,18,Female,White-Asian,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Grade 11,.00099624461
29120,29120,Montana,25,Male,White-Black,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",770,"Associate's degree, academic program",.0010013131
150000,153500,Georgia,62,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7990,Professional school degree,.001006457
53000,55101,Illinois,29,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Bachelor's degree,.00101733
60000,60648,Arkansas,39,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",6170,Bachelor's degree,.0010177423
100000,100000,Florida,61,Male,White,Divorced,Yes,Not Hispanic,At work,"Yes, in the labor force",3960,Doctorate degree,.0010307262
179000,179000,New Mexico,51,Female,American Indian/Aleut/Eskimo,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0010413724
20000,20251,Michigan,26,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7390,Bachelor's degree,.0010596485
180000,195050,California,51,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Doctorate degree,.0010620567
55000,56525,Louisiana,37,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Bachelor's degree,.0010678732
137000,141072,Maryland,64,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4195,Professional school degree,.0010730576
70000,70100,Massachusetts,59,Female,White,Divorced,Yes,Not Hispanic,At work,"Yes, in the labor force",7460,High school diploma or equivalent,.0010801653
36000,43013,Pennsylvania,51,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.0010826692
82500,94510,New Hampshire,44,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3960,Bachelor's degree,.0010889757
23878,23878,Arkansas,26,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8470,"Associate's degree, academic program",.0010939181
33000,39026,Hawaii,26,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9590,Some college but no degree,.0011689883
50000,50000,California,56,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",7070,Grades 5 or 6,.0011830745
38059,57439,Ohio,54,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2870,"Associate's degree, academic program",.0012111377
25000,26505,Oklahoma,36,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9080,Bachelor's degree,.0012174812
35000,35000,Maryland,31,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8080,Bachelor's degree,.0012257412
65000,65052,Arizona,48,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7870,Master's degree,.0012386153
80060,80060,Tennessee,32,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6380,High school diploma or equivalent,.0012387559
74000,75005,Ohio,36,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3990,Bachelor's degree,.0012406688
14000,14000,Michigan,40,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",3570,Some college but no degree,.0012868976
75000,149850,Georgia,53,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",7390,Bachelor's degree,.0012964896
65000,65505,Ohio,41,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2590,Some college but no degree,.001306785
35000,35002,Hawaii,29,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,Some college but no degree,.0013099642
60000,60001,Michigan,54,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7690,High school diploma or equivalent,.0013425068
5000,5002,Arkansas,18,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Grade 11,.0013442836
34000,36501,Louisiana,44,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6990,High school diploma or equivalent,.0013912583
22000,22000,District of Columbia,40,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6180,High school diploma or equivalent,.0014061824
38000,38500,Arizona,32,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",6870,High school diploma or equivalent,.0014103017
4000,4000,Texas,30,Male,White,Never married/single,No service,Salvadoran,"Unemployed, experienced worker","Yes, in the labor force",8680,Bachelor's degree,.0014332063
30000,30000,Texas,43,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",770,Grade 11,.0014412851
35000,59000,Arizona,54,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8080,Bachelor's degree,.0014608765
64000,65876,South Dakota,32,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6870,Bachelor's degree,.001478867
35000,35000,Kentucky,19,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8170,Some college but no degree,.0014860558
39000,42552,New York,52,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3875,Some college but no degree,.0015036567
39000,39000,Florida,63,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Bachelor's degree,.0015326781
27002,27002,Maine,47,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8090,"Associate's degree, academic program",.0015621842
85000,85031,Maine,58,Female,White,"Married, spouse present",No service,Not Hispanic,"NILF, retired","No, not in the labor force",0,High school diploma or equivalent,.0015734687
9600,13200,California,23,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0015841614
27000,27001,Delaware,38,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5275,Bachelor's degree,.0015909972
42000,42700,Kansas,39,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Bachelor's degree,.0015999774
57000,57000,Michigan,59,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7680,High school diploma or equivalent,.0016246289
75000,75000,Mississippi,47,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2870,High school diploma or equivalent,.0016672792
85000,86415,Montana,48,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",4870,Bachelor's degree,.00169545
52000,60402,Illinois,38,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",3070,High school diploma or equivalent,.0017135849
25000,25000,Oregon,35,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",770,Grade 10,.0017450738
15000,15000,California,41,Female,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0017469019
46000,46080,Arizona,28,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8290,High school diploma or equivalent,.0017603511
75000,75000,District of Columbia,24,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7280,Bachelor's degree,.0017872012
32000,32000,Missouri,24,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4890,High school diploma or equivalent,.0017919708
29000,29014,Illinois,31,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Master's degree,.0017937213
36000,36000,California,37,Female,Black/Negro,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",4970,Some college but no degree,.001814629
77000,77000,New Hampshire,38,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",1190,High school diploma or equivalent,.0018287017
67000,72881,Arizona,44,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8190,Master's degree,.0018512072
10800,10800,North Dakota,22,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7870,Bachelor's degree,.0018542977
200000,211540,Wisconsin,44,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",1870,Bachelor's degree,.0018697303
40000,40001,California,50,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",9480,Some college but no degree,.0018743799
30000,30007,Iowa,36,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8190,High school diploma or equivalent,.0018931528
28000,28000,Alaska,59,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6870,High school diploma or equivalent,.0018977853
43500,43520,North Carolina,41,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7690,High school diploma or equivalent,.0019040591
35000,35000,Kansas,54,Female,White,Never married/single,No service,Other Hispanic,"NILF, other","No, not in the labor force",0,Grade 11,.0019092873
32500,32500,Georgia,51,Male,Black/Negro,Separated,No service,Not Hispanic,At work,"Yes, in the labor force",7690,Some college but no degree,.0019109255
120000,136675,Michigan,48,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6090,Master's degree,.0019395002
34000,34000,Montana,37,Female,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, academic program",.0019513136
103000,123500,New Jersey,35,Male,White,"Married, spouse present",No service,South American,At work,"Yes, in the labor force",6390,"Associate's degree, occupational/vocational program",.0020545335
45000,45001,Washington,28,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5480,High school diploma or equivalent,.0020678765
10000,10101,Idaho,21,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",4770,Some college but no degree,.0020964788
35000,35000,Georgia,61,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7070,Bachelor's degree,.0020970104
96000,113805,Pennsylvania,62,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9390,Bachelor's degree,.0021049592
12674,13074,Mississippi,27,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",7070,"Associate's degree, academic program",.0021234707
36500,36501,New Jersey,25,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.0021319892
800,800,Mississippi,22,Male,Black/Negro,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Some college but no degree,.0021389034
21000,21000,South Dakota,25,Female,American Indian/Aleut/Eskimo,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8590,Some college but no degree,.002170848
40000,40000,California,52,Male,White,"Married, spouse absent",No service,Mexican,At work,"Yes, in the labor force",8590,High school diploma or equivalent,.0021765779
10000,10780,Vermont,38,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8590,Grade 11,.0021874774
95000,95120,Iowa,42,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.002204655
50000,50000,South Carolina,48,Male,White,"Married, spouse present",No service,Puerto Rican,At work,"Yes, in the labor force",6380,High school diploma or equivalent,.0022168159
30000,30001,South Carolina,22,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.00222582
200000,203001,Maryland,41,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6970,Professional school degree,.0022268328
185000,190000,California,38,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",3960,Bachelor's degree,.0022273823
40000,40000,Texas,37,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8090,Bachelor's degree,.0022469659
150000,150215,Florida,35,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7270,Professional school degree,.0022592153
30000,35030,Michigan,56,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",7860,High school diploma or equivalent,.002284677
40000,40200,Missouri,35,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,"Associate's degree, academic program",.0022857648
28000,28000,Illinois,62,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8190,Some college but no degree,.0022915811
61000,61282,California,38,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2190,Doctorate degree,.0023202768
25000,27000,Michigan,46,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, academic program",.0023575264
45000,45000,Oklahoma,63,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Bachelor's degree,.0023779604
56000,57000,Louisiana,48,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4180,"Associate's degree, occupational/vocational program",.002396462
19285,19286,Delaware,48,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.0023983752
40000,40000,Connecticut,30,Female,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Some college but no degree,.0024209719
40000,43000,Alaska,27,Female,White,"Married, spouse present",No service,Puerto Rican,At work,"Yes, in the labor force",5390,High school diploma or equivalent,.0024308953
10401,12801,California,20,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8090,High school diploma or equivalent,.0024450987
130000,132000,Arizona,37,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6870,Bachelor's degree,.0024454973
47000,49000,Utah,30,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4090,Bachelor's degree,.0024685701
123000,126001,New York,51,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6080,High school diploma or equivalent,.0025173642
28000,28320,North Carolina,62,Male,White,Separated,Yes,Not Hispanic,At work,"Yes, in the labor force",7770,High school diploma or equivalent,.0025243824
50000,60364,California,23,Male,Black/Negro,Never married/single,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",9170,Bachelor's degree,.0025334477
18000,18000,Virginia,19,Female,White-Black,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",9090,High school diploma or equivalent,.0025370663
40000,40000,California,58,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",170,"Grades 1, 2, 3, or 4",.0025387832
11000,11000,California,28,Female,White,Never married/single,No service,Mexican,"NILF, unable to work","No, not in the labor force",0,Some college but no degree,.0025487654
38500,38543,Kansas,52,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6480,Bachelor's degree,.0025594363
47000,47027,Massachusetts,57,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, academic program",.0025673565
76000,77501,Texas,64,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",4690,Some college but no degree,.0025964854
20000,20000,West Virginia,61,Male,White,Widowed,No service,Not Hispanic,At work,"Yes, in the labor force",3190,High school diploma or equivalent,.0026051709
38000,38405,West Virginia,44,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6880,High school diploma or equivalent,.002605479
20000,20000,Minnesota,18,Male,White,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Grade 11,.002633092
33000,33000,Idaho,30,Male,White,Never married/single,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",4670,Some college but no degree,.0026369686
130000,230200,Hawaii,61,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Bachelor's degree,.002639171
70000,71810,Illinois,39,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3580,Master's degree,.0026525669
60000,60000,Massachusetts,43,Male,White,"Married, spouse present",No service,Dominican,At work,"Yes, in the labor force",8770,High school diploma or equivalent,.0026563522
34000,34344,Maryland,46,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8660,High school diploma or equivalent,.0026595755
10000,10000,New Mexico,41,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",8080,High school diploma or equivalent,.0026672734
73000,73002,Florida,52,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8180,"Associate's degree, occupational/vocational program",.0026704993
35000,35000,California,30,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6570,Bachelor's degree,.002683121
75000,75001,Kansas,24,Male,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",1180,High school diploma or equivalent,.0026998608
60000,60360,California,44,Female,White,Divorced,No service,Mexican,At work,"Yes, in the labor force",9480,"Associate's degree, academic program",.0027205774
